N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,LG디스플레이,"15,400",350,+2.33%,"5,000","55,104","357,816",17.70,"1,548,749",5.63,9.68,
61,강원랜드,"25,500",100,+0.39%,500,"54,555","213,940",21.58,"283,002",223.68,-0.33,
62,한국항공우주,"55,200",900,+1.66%,"5,000","53,806","97,475",21.47,"1,721,945",60.86,5.19,
63,LG유플러스,"12,300",100,-0.81%,"5,000","53,703","436,611",37.66,"554,510",7.83,9.47,
64,KODEX 200,"32,245",210,+0.66%,0,"51,528","159,800",4.89,"5,161,124",N/A,N/A,
65,맥쿼리인프라,"12,700",100,+0.79%,0,"51,415","404,846",13.71,"743,003",N/A,N/A,
66,SKC,"135,500","4,500",+3.44%,"5,000","51,312","37,868",14.78,"228,913",20.90,11.60,
67,삼성중공업,"5,500",80,+1.48%,"1,000","48,400","880,000",15.27,"3,107,130",-4.08,-36.89,
68,코웨이,"64,300",100,-0.16%,500,"47,453","73,800",61.24,"74,054",9.99,27.41,
69,현대건설,"41,550",350,-0.84%,"5,000","46,268","111,356",23.75,"341,654",11.15,5.89,
70,현대제철,"33,350",200,+0.60%,"5,000","44,504","133,446",21.31,"389,126",2.58,8.54,
71,HD현대,"55,400",200,+0.36%,"1,000","43,762","78,993",16.01,"73,974",81.83,-1.99,
72,DB손해보험,"60,000",200,+0.33%,500,"42,480","70,800",43.08,"75,234",4.55,13.38,
73,에스디바이오센서,"41,050","1,050",-2.49%,500,"42,393","103,271",10.94,"435,118",3.74,72.47,
74,유한양행,"57,800",200,-0.34%,"1,000","42,328","73,231",19.11,"129,785",43.92,5.45,
75,한국타이어앤테크놀로지,"33,800",200,-0.59%,500,"41,870","123,875",35.96,"228,998",7.98,7.69,
76,미래에셋증권,"6,460",10,-0.15%,"5,000","39,749","615,316",13.18,"670,643",4.82,11.66,
77,오리온,"100,500","1,500",-1.47%,500,"39,734","39,536",36.08,"122,469",15.11,12.75,
78,메리츠화재,"33,950",500,+1.49%,500,"39,654","116,802",11.64,"103,856",5.51,26.12,
79,한진칼,"58,800",400,+0.68%,"2,500","39,256","66,761",14.57,"39,570",20.71,1.11,
80,롯데지주,"37,250",100,+0.27%,200,"39,079","104,909",7.94,"153,844",13.59,4.61,
81,금호석유,"127,500",0,0.00%,"5,000","38,627","30,296",19.99,"94,236",2.29,47.76,
82,GS,"41,250",100,+0.24%,"5,000","38,328","92,915",23.01,"119,339",2.55,15.55,
83,한미약품,"309,000",0,0.00%,"2,500","38,063","12,318",14.14,"16,592",56.39,8.75,
84,삼성엔지니어링,"19,250",600,-3.02%,"5,000","37,730","196,000",39.94,"1,842,355",9.96,20.67,
85,삼성카드,"31,300",200,-0.63%,"5,000","36,264","115,859",6.78,"47,434",6.32,7.53,
86,TIGER 차이나전기차SOLACTIVE,"16,180",340,-2.06%,0,"35,195","217,520",0.51,"5,825,963",N/A,N/A,
87,현대미포조선,"87,800",700,+0.80%,"5,000","35,069","39,942",14.30,"99,725",-15.34,-7.11,
88,현대오토에버,"126,500",500,+0.40%,500,"34,691","27,424",1.79,"40,115",44.26,7.26,
89,한국금융지주,"62,200",300,-0.48%,"5,000","34,662","55,726",34.15,"203,687",2.29,27.12,
90,현대차2우B,"94,900",100,+0.11%,"5,000","34,625","36,485",60.26,"81,229",5.05,N/A,
91,일진머티리얼즈,"73,100","1,800",+2.52%,500,"33,707","46,111",10.29,"284,241",47.34,7.85,
92,한국가스공사,"36,300",100,-0.27%,"5,000","33,510","92,313",11.06,"157,335",2.86,11.63,
93,쌍용C&E,"6,600",130,-1.93%,100,"33,255","503,860",2.95,"471,113",22.07,11.12,
94,메리츠금융지주,"25,400",400,+1.60%,500,"32,725","128,838",7.31,"125,161",3.59,22.33,
95,NH투자증권,"9,710",20,+0.21%,"5,000","32,205","331,666",13.45,"428,463",3.87,14.77,
96,BGF리테일,"184,000",500,-0.27%,"1,000","31,802","17,284",31.23,"23,336",20.16,19.61,
97,두산밥캣,"31,650",950,+3.09%,500,"31,729","100,249",24.36,"383,344",8.55,9.19,
98,삼성증권,"34,350",150,+0.44%,"5,000","30,675","89,300",27.39,"157,581",3.70,16.94,
99,이마트,"110,000","1,000",-0.90%,"5,000","30,663","27,876",27.47,"142,994",1.34,16.25,
100,아모레G,"36,900","2,750",-6.94%,500,"30,427","82,458",15.20,"243,522",24.05,5.49,
101,메리츠증권,"4,740",80,+1.72%,"1,000","30,322","639,711",13.54,"812,178",4.06,15.77,
102,팬오션,"5,580",40,-0.71%,"1,000","29,829","534,570",15.61,"2,425,069",4.54,17.16,
103,현대해상,"32,200",50,+0.16%,500,"28,787","89,400",31.83,"220,602",6.27,8.82,
104,한미사이언스,"41,000",250,+0.61%,500,"28,136","68,624",1.49,"65,394",58.24,6.37,
105,호텔신라,"70,800",100,-0.14%,"5,000","27,788","39,248",15.62,"208,651",135.63,4.51,
106,OCI,"114,500","5,500",+5.05%,"5,000","27,308","23,849",14.75,"993,153",3.67,23.93,
107,현대로템,"24,950",50,-0.20%,"5,000","27,231","109,142",5.90,"11,009,351",37.18,5.01,
108,한화에어로스페이스,"53,700","1,500",+2.87%,"5,000","27,188","50,630",19.54,"966,696",13.46,9.21,
109,한화시스템,"14,200",150,+1.07%,"5,000","26,827","188,919",3.23,"615,838",28.12,6.04,
110,만도,"56,400",100,+0.18%,"1,000","26,484","46,957",20.57,"210,065",17.91,9.31,
111,CJ대한통운,"116,000","2,000",-1.69%,"5,000","26,462","22,812",17.98,"43,072",38.37,1.59,
112,롯데쇼핑,"93,100","1,500",-1.59%,"5,000","26,337","28,289",11.47,"67,243",-13.00,-2.94,
113,KCC,"289,000","6,000",+2.12%,"5,000","25,682","8,886",9.63,"27,590",-45.30,-0.92,
114,제일기획,"22,150",500,-2.21%,200,"25,482","115,041",32.52,"369,662",14.33,15.58,
115,GS리테일,"24,300",0,0.00%,"1,000","25,446","104,718",7.17,"146,618",3.01,25.58,
116,한솔케미칼,"223,000","6,000",+2.76%,"5,000","25,277","11,335",34.60,"63,180",17.07,23.88,
117,한전기술,"64,800","1,300",+2.05%,200,"24,767","38,220",2.03,"198,950",188.37,3.25,
118,GS건설,"28,900","1,000",-3.34%,"5,000","24,733","85,581",30.72,"1,414,878",6.22,9.32,
119,동서,"24,750",200,-0.80%,500,"24,676","99,700",3.01,"36,067",21.65,8.05,
120,포스코인터내셔널,"19,900",150,+0.76%,"5,000","24,552","123,375",6.46,"557,870",5.73,10.86,
121,에스원,"63,900",100,+0.16%,500,"24,281","37,999",52.92,"31,496",18.81,9.13,
122,KODEX 레버리지,"15,585",190,+1.23%,0,"23,510","150,850",1.85,"29,846,521",N/A,N/A,
123,CJ,"80,000",300,-0.37%,"5,000","23,342","29,177",17.26,"26,332",9.34,5.66,
124,현대차우,"93,400",600,-0.64%,"5,000","22,749","24,357",57.78,"72,454",4.97,N/A,
125,대웅제약,"192,500","1,500",+0.79%,"2,500","22,304","11,587",8.24,"46,217",36.33,4.39,
126,씨에스윈드,"52,800","4,900",+10.23%,500,"22,266","42,171",10.34,"784,595",67.01,10.13,
127,LG화학우,"287,000","20,000",+7.49%,"5,000","22,067","7,689",69.95,"39,023",7.36,N/A,
128,BNK금융지주,"6,770",110,+1.65%,"5,000","22,066","325,935",39.24,"932,402",2.52,8.76,
129,TIGER 미국나스닥100,"73,010",975,+1.35%,0,"21,669","29,680",0.10,"133,279",N/A,N/A,
