N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한국조선해양,"83,200",800,-0.95%,"5,000","58,883","70,773",19.75,"165,998",-4.56,-7.42,
60,CJ제일제당,"384,000","4,500",+1.19%,"5,000","57,808","15,054",22.40,"41,971",13.10,13.50,
61,LG유플러스,"13,150",0,0.00%,"5,000","57,414","436,611",35.82,"749,703",14.63,6.46,
62,강원랜드,"26,200",650,-2.42%,500,"56,052","213,940",18.70,"1,396,172",-170.13,-7.92,
63,맥쿼리인프라,"13,750",50,-0.36%,0,"55,666","404,846",14.06,"1,314,707",N/A,N/A,
64,KODEX 200,"36,760",540,-1.45%,0,"55,526","151,050",11.40,"3,565,536",N/A,N/A,
65,미래에셋증권,"8,800",150,-1.68%,"5,000","54,148","615,316",13.69,"1,080,299",6.02,8.94,
66,메리츠금융지주,"40,150","2,000",+5.24%,500,"53,806","134,011",9.04,"744,808",7.56,16.06,
67,에스디바이오센서,"51,700","1,300",-2.45%,500,"53,391","103,271",10.26,"1,076,989",7.84,139.97,
68,현대제철,"39,200",650,-1.63%,"5,000","52,311","133,446",20.79,"470,387",6.00,-2.59,
69,코웨이,"69,800","1,700",-2.38%,500,"51,512","73,800",60.85,"109,359",11.56,31.51,
70,메리츠화재,"42,550",750,+1.79%,500,"51,326","120,625",12.77,"951,340",8.83,16.91,
71,SKC,"132,500","2,000",-1.49%,"5,000","50,175","37,868",16.65,"106,655",26.99,2.21,
72,삼성중공업,"5,560",0,0.00%,"1,000","48,928","880,000",13.90,"3,597,266",-2.27,-33.06,
73,금호석유,"159,500","1,000",-0.62%,"5,000","48,322","30,296",19.82,"125,744",2.85,20.18,
74,현대건설,"41,950",700,-1.64%,"5,000","46,714","111,356",23.16,"438,031",27.89,1.84,
75,삼성엔지니어링,"22,250","1,000",-4.30%,"5,000","43,610","196,000",36.53,"1,444,778",12.31,17.32,
76,한국금융지주,"77,800","1,500",-1.89%,"5,000","43,355","55,726",34.75,"111,192",2.66,16.27,
77,한국타이어앤테크놀로지,"34,950",100,-0.29%,500,"43,294","123,875",41.18,"380,035",6.55,5.12,
78,메리츠증권,"6,280",200,+3.29%,"1,000","42,813","681,731",13.21,"2,802,619",6.38,13.08,
79,일진머티리얼즈,"92,000","1,400",-1.50%,500,"42,422","46,111",13.10,"168,267",66.76,7.23,
80,DB손해보험,"59,800",200,-0.33%,500,"42,338","70,800",43.04,"310,282",5.31,9.08,
81,유한양행,"56,200",400,-0.71%,"1,000","41,156","73,231",17.38,"127,943",42.61,11.06,
82,아모레G,"48,100",950,-1.94%,500,"39,662","82,458",15.93,"155,237",27.01,0.31,
83,오리온,"98,800","1,700",-1.69%,500,"39,062","39,536",37.17,"95,992",16.43,15.50,
84,현대중공업지주,"48,800",750,-1.51%,"1,000","38,549","78,993",16.66,"201,577",-11.31,-8.12,
85,쌍용C&E,"7,610",60,-0.78%,100,"38,344","503,860",3.20,"442,191",18.61,7.92,
86,두산밥캣,"37,500",150,-0.40%,500,"37,593","100,249",25.29,"155,564",10.26,6.15,
87,삼성증권,"42,050",550,-1.29%,"5,000","37,551","89,300",30.07,"277,841",3.96,9.89,
88,GS,"40,150",300,-0.74%,"5,000","37,306","92,915",19.17,"153,966",3.64,-2.82,
89,삼성카드,"31,950",250,-0.78%,"5,000","37,017","115,859",7.30,"130,526",7.88,5.69,
90,한진칼,"54,900",500,-0.90%,"2,500","36,640","66,739",14.90,"81,584",-62.53,-19.55,
91,GS건설,"40,650",500,-1.22%,"5,000","34,789","85,581",26.19,"329,695",9.90,7.68,
92,NH투자증권,"11,700",50,-0.43%,"5,000","34,753","297,034",17.73,"403,462",4.30,10.32,
93,이마트,"124,000","3,500",-2.75%,"5,000","34,566","27,876",33.67,"172,751",2.50,4.05,
94,팬오션,"6,440",150,+2.38%,"1,000","34,426","534,570",12.60,"14,452,810",11.07,3.25,
95,현대차2우B,"92,800","2,200",-2.32%,"5,000","33,858","36,485",63.00,"56,144",4.70,N/A,
96,한미사이언스,"48,400",300,+0.62%,500,"33,214","68,624",2.23,"83,086",61.34,3.47,
97,한국항공우주,"33,450","1,150",-3.32%,"5,000","32,605","97,475",13.26,"951,334",227.55,6.39,
98,한국가스공사,"34,750",850,-2.39%,"5,000","32,079","92,313",10.35,"342,446",7.22,-2.24,
99,TIGER 차이나전기차SOLACTIVE,"15,100",165,-1.08%,0,"32,048","212,240",0.22,"3,220,095",N/A,N/A,
100,호텔신라,"81,300",0,0.00%,"5,000","31,909","39,248",14.67,"371,365",-31.21,-36.74,
101,한미약품,"259,000","4,000",-1.52%,"2,500","31,904","12,318",13.31,"20,828",41.26,1.65,
102,한전기술,"82,600","4,600",-5.28%,200,"31,570","38,220",2.54,"845,722",310.53,N/A,
103,롯데지주,"28,950",100,-0.34%,200,"30,371","104,909",7.72,"83,254",15.09,-3.03,
104,DB하이텍,"67,500","2,600",-3.71%,"5,000","29,969","44,399",23.97,"1,089,956",14.10,23.07,
105,현대오토에버,"108,500","3,500",-3.12%,500,"29,755","27,424",2.03,"111,601",39.38,11.09,
106,현대미포조선,"73,400",800,-1.08%,"5,000","29,318","39,942",10.44,"288,492",-19.07,-0.84,
107,CJ대한통운,"125,000",0,0.00%,"5,000","28,515","22,812",20.93,"36,465",96.82,3.89,
108,BGF리테일,"162,000","4,000",-2.41%,"1,000","28,000","17,284",31.75,"24,088",20.27,18.60,
109,한화시스템,"14,800",350,-2.31%,"5,000","27,960","188,919",2.12,"575,298",17.94,9.35,
110,KCC,"313,000","10,000",-3.10%,"5,000","27,815","8,886",10.76,"66,602",3.95,12.79,
111,GS리테일,"26,250",400,-1.50%,"1,000","27,488","104,718",8.08,"164,504",2.65,7.50,
112,동서,"26,700",550,-2.02%,500,"26,620","99,700",2.81,"74,232",25.07,8.61,
113,제일기획,"22,900",100,+0.44%,200,"26,344","115,041",31.43,"249,626",13.49,16.11,
114,에스원,"69,100",100,-0.14%,500,"26,257","37,999",53.06,"32,981",17.27,10.48,
115,한화생명,"2,995",110,-3.54%,"5,000","26,012","868,530",7.84,"2,924,733",3.40,1.90,
116,BNK금융지주,"7,970",170,-2.09%,"5,000","25,977","325,935",40.40,"1,655,071",3.19,6.11,
117,하이트진로,"36,900",0,0.00%,"5,000","25,879","70,134",5.54,"1,352,123",50.27,8.23,
118,키움증권,"98,400","1,400",-1.40%,"5,000","25,800","26,220",25.43,"46,917",2.83,27.63,
119,신세계,"258,500","1,500",-0.58%,"5,000","25,450","9,845",25.37,"46,439",9.72,-2.81,
120,롯데쇼핑,"87,200",400,-0.46%,"5,000","24,668","28,289",11.23,"66,466",-9.27,-7.70,
121,현대해상,"27,550",250,-0.90%,500,"24,630","89,400",27.30,"565,007",6.44,7.13,
122,포스코인터내셔널,"19,650",200,-1.01%,"5,000","24,243","123,375",6.84,"422,178",7.94,7.69,
123,CJ,"82,800",400,-0.48%,"5,000","24,159","29,177",17.53,"43,771",71.75,1.89,
124,한솔케미칼,"211,000","6,000",-2.76%,"5,000","23,917","11,335",41.90,"50,126",16.46,24.50,
125,대우조선해양,"22,150",200,+0.91%,"5,000","23,765","107,291",4.59,"430,008",-1.61,2.27,
126,대우건설,"5,690",80,-1.39%,"5,000","23,649","415,623",10.78,"1,170,582",4.83,11.06,
127,DL이앤씨,"122,000","2,000",-1.61%,"5,000","23,618","19,359",22.54,"124,648",N/A,N/A,
128,두산퓨얼셀,"35,800",800,-2.19%,100,"23,447","65,494",13.87,"219,692",716.00,4.18,
129,녹십자,"197,000","1,000",-0.51%,"5,000","23,022","11,687",22.88,"72,673",26.69,7.48,
130,한화에어로스페이스,"45,300","1,850",-3.92%,"5,000","22,935","50,630",17.32,"417,782",8.22,4.78,
131,OCI,"94,500","2,900",-2.98%,"5,000","22,538","23,849",14.81,"384,660",11.27,-9.89,
132,현대차우,"91,900","1,800",-1.92%,"5,000","22,384","24,357",58.57,"43,541",4.66,N/A,
133,LG화학우,"290,500","15,000",-4.91%,"5,000","22,336","7,689",72.24,"17,448",7.57,N/A,
134,만도,"46,700","1,050",-2.20%,"1,000","21,929","46,957",19.36,"292,331",9.84,0.37,
135,SK케미칼,"123,000","3,000",-2.38%,"5,000","21,674","17,621",17.92,"74,100",58.63,30.49,
136,씨에스윈드,"51,000",400,-0.78%,500,"21,507","42,171",11.33,"111,292",46.28,8.19,
137,KODEX 200선물인버스2X,"2,500",70,+2.88%,0,"21,460","858,400",4.99,"252,232,642",N/A,N/A,
138,한화,"28,500",800,-2.73%,"5,000","21,363","74,959",15.84,"227,405",4.82,4.79,
139,TIGER 200,"36,775",540,-1.45%,0,"20,741","56,400",2.19,"1,391,203",N/A,N/A,
140,현대로템,"18,850",350,-1.82%,"5,000","20,573","109,142",3.71,"503,173",65.68,2.84,
141,롯데정밀화학,"79,200","1,400",-1.74%,"5,000","20,434","25,800",20.85,"134,877",4.80,12.65,
142,효성티앤씨,"462,000","10,000",-2.12%,"5,000","19,994","4,328",14.34,"47,883",2.83,25.10,
143,효성첨단소재,"442,500","21,000",-4.53%,"5,000","19,824","4,480",9.12,"46,698",9.23,0.03,
144,농심,"325,000","5,500",-1.66%,"5,000","19,769","6,083",12.68,"21,870",18.52,7.50,
145,TIGER 미국나스닥100,"73,120","2,030",-2.70%,0,"19,413","26,550",0.04,"384,887",N/A,N/A,
146,KODEX 레버리지,"20,170",600,-2.89%,0,"19,283","95,600",3.05,"28,831,857",N/A,N/A,
147,대웅제약,"165,000",500,+0.30%,"2,500","19,118","11,587",6.69,"78,513",165.66,2.38,
148,휠라홀딩스,"31,200",900,-2.80%,"1,000","18,955","60,752",43.31,"305,883",8.06,10.94,
149,솔루스첨단소재,"61,300","1,300",-2.08%,100,"18,752","30,590",6.39,"312,855",-241.34,-5.10,
150,현대백화점,"77,500",400,-0.51%,"5,000","18,137","23,402",18.41,"141,997",11.72,1.65,
151,영원무역,"40,900","1,100",-2.62%,500,"18,123","44,311",28.53,"144,976",7.86,8.03,
152,KODEX MSCI Korea TR,"11,855",145,-1.21%,0,"18,103","152,700",3.74,"535,726",N/A,N/A,
153,후성,"19,450",750,-3.71%,500,"18,012","92,607",6.75,"1,310,303",65.49,2.79,
154,현대위아,"64,000","2,100",-3.18%,"5,000","17,405","27,195",7.00,"147,699",47.69,1.96,
155,효성,"81,800","1,500",-1.80%,"5,000","17,236","21,071",7.97,"31,667",4.45,-2.26,
156,대웅,"29,350",50,-0.17%,500,"17,065","58,142",4.26,"82,738",16.16,15.10,
157,코오롱인더,"61,500",700,-1.13%,"5,000","16,924","27,519",20.06,"122,744",9.55,9.70,
158,한샘,"71,800","2,500",-3.36%,"1,000","16,897","23,534",16.24,"68,628",21.12,10.83,
159,한미반도체,"33,300",400,-1.19%,200,"16,470","49,460",5.92,"168,790",19.80,21.03,
160,아이에스동서,"53,000",200,-0.38%,500,"16,373","30,893",4.10,"126,278",30.36,10.92,
161,오뚜기,"444,500","9,500",-2.09%,"5,000","16,322","3,672",11.63,"2,494",14.76,7.93,
162,JB금융지주,"8,210",90,-1.08%,"5,000","16,172","196,983",42.08,"198,140",3.39,10.06,
163,DGB금융지주,"9,350",230,-2.40%,"5,000","15,815","169,146",50.11,"357,045",3.34,6.93,
164,두산,"95,300","1,100",+1.17%,"5,000","15,747","16,524",10.84,"73,588",-54.90,-34.34,
165,한전KPS,"34,900",550,-1.55%,200,"15,705","45,000",7.33,"251,940",13.00,8.23,
166,KODEX 단기채권,"103,230",5,0.00%,0,"15,632","15,143",0.00,"70,051",N/A,N/A,
167,TIGER MSCI Korea TR,"14,875",185,-1.23%,0,"15,574","104,700",9.17,"2,135",N/A,N/A,
168,더존비즈온,"51,000","1,200",-2.30%,500,"15,495","30,383",38.37,"114,295",24.96,15.09,
169,LS,"47,800",900,-1.85%,"5,000","15,392","32,200",13.49,"74,021",6.01,3.94,
170,동원시스템즈,"52,300","1,800",-3.33%,"5,000","15,266","29,188",13.15,"55,391",23.69,10.97,
171,롯데칠성,"164,500","3,500",-2.08%,500,"15,264","9,279",9.62,"36,235",19.44,-1.00,
172,KODEX 삼성그룹,"8,960",140,-1.54%,0,"15,259","170,300",0.16,"290,667",N/A,N/A,
